Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides std00	Peptides std01	Peptides std02	Peptides std03	Peptides std04	Peptides std05	Peptides std06	Peptides std07	Peptides std08	Peptides std09	Peptides std10	Peptides std11	Razor + unique peptides std00	Razor + unique peptides std01	Razor + unique peptides std02	Razor + unique peptides std03	Razor + unique peptides std04	Razor + unique peptides std05	Razor + unique peptides std06	Razor + unique peptides std07	Razor + unique peptides std08	Razor + unique peptides std09	Razor + unique peptides std10	Razor + unique peptides std11	Unique peptides std00	Unique peptides std01	Unique peptides std02	Unique peptides std03	Unique peptides std04	Unique peptides std05	Unique peptides std06	Unique peptides std07	Unique peptides std08	Unique peptides std09	Unique peptides std10	Unique peptides std11	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Sequence coverage std00 [%]	Sequence coverage std01 [%]	Sequence coverage std02 [%]	Sequence coverage std03 [%]	Sequence coverage std04 [%]	Sequence coverage std05 [%]	Sequence coverage std06 [%]	Sequence coverage std07 [%]	Sequence coverage std08 [%]	Sequence coverage std09 [%]	Sequence coverage std10 [%]	Sequence coverage std11 [%]	Intensity	Intensity std00	Intensity std01	Intensity std02	Intensity std03	Intensity std04	Intensity std05	Intensity std06	Intensity std07	Intensity std08	Intensity std09	Intensity std10	Intensity std11	iBAQ	iBAQ std00	iBAQ std01	iBAQ std02	iBAQ std03	iBAQ std04	iBAQ std05	iBAQ std06	iBAQ std07	iBAQ std08	iBAQ std09	iBAQ std10	iBAQ std11	LFQ intensity std00	LFQ intensity std01	LFQ intensity std02	LFQ intensity std03	LFQ intensity std04	LFQ intensity std05	LFQ intensity std06	LFQ intensity std07	LFQ intensity std08	LFQ intensity std09	LFQ intensity std10	LFQ intensity std11	MS/MS Count std00	MS/MS Count std01	MS/MS Count std02	MS/MS Count std03	MS/MS Count std04	MS/MS Count std05	MS/MS Count std06	MS/MS Count std07	MS/MS Count std08	MS/MS Count std09	MS/MS Count std10	MS/MS Count std11	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Deamidation (NQ) site IDs	Oxidation (M) site IDs	Deamidation (NQ) site positions	Oxidation (M) site positions
CON__P78386;P78386;F5GYI5;CON__O43790;O43790;A0A087X106;CON__Q14533;Q14533	CON__P78386;P78386;F5GYI5	5;5;4;2;2;1;1;1	5;5;4;2;2;1;1;1	5;5;4;2;2;1;1;1	Keratin, type II cuticular Hb5	KRT85	>P78386 SWISS-PROT:P78386 Keratin, type II cuticular Hb5 (Hair keratin, type II Hb5) - Homo sapiens (Human).;>sp|P78386|KRT85_HUMAN Keratin, type II cuticular Hb5 OS=Homo sapiens GN=KRT85 PE=1 SV=1;>tr|F5GYI5|F5GYI5_HUMAN Keratin, type II cuticular Hb5 OS=	8	5	5	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	13.2	13.2	13.2	55.802	507	507;507;295;486;486;484;505;505	0	31.404	0	0	0	0	0	0	0	0	13.2	0	0	0	2500900	0	0	0	0	0	0	0	0	2500900	0	0	0	75785	0	0	0	0	0	0	0	0	75785	0	0	0	0	0	0	0	0	0	0	0	861460	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5			+	75	77;103;270;413;414	True;True;True;True;True	81;111;296;453;454	355;470;1179;1791;1792	415;537;1405;2258;2259	415;537;1405;2258;2259				
CON__Q28194	CON__Q28194	7	2	2			>Q28194 TREMBL:Q28194 (Bos taurus) Thrombospondin-1	1	7	2	2	1	0	1	0	5	3	5	3	6	3	3	5	0	0	0	0	1	1	2	1	2	1	1	2	0	0	0	0	1	1	2	1	2	1	1	2	7.4	2.9	2.9	129.39	1170	1170	0	18.803	1	0	1	0	4.3	2.6	5.7	2.6	6.7	2.6	2.7	5.7	8329900	0	0	0	0	1010300	417210	1470600	285520	1483500	659810	734740	2268100	132220	0	0	0	0	16036	6622.4	23343	4532	23548	10473	11662	36002	0	0	0	0	0	0	349440	0	525730	0	0	1992400	0	0	0	0	2	1	3	1	3	1	1	5	17			+	76	58;203;204;238;385;580;625	True;True;False;False;False;False;False	61;224;225;261;421;638;689	243;244;245;904;905;906;907;908;909;910;911;912;913;914;915;916;917;918;919;920;921;922;923;924;925;926;927;928;929;930;931;932;1053;1691;2390;2391;2392;2393;2394;2395;2396;2397;2398;2399;2400;2401;2572;2573;2574;2575;2576;2577;2578;2579;2580;2581;2582;2583	292;293;294;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029;1030;1031;1032;1033;1034;1035;1036;1037;1038;1039;1040;1041;1042;1043;1044;1045;1046;1047;1048;1049;1050;1051;1052;1053;1054;1055;1056;1057;1058;1059;1060;1061;1062;1063;1064;1065;1066;1067;1068;1069;1194;2126;2978;2979;2980;2981;2982;2983;2984;2985;2986;2987;2988;2989;3168;3169;3170;3171;3172;3173;3174;3175;3176;3177;3178;3179;3180	292;1022;1054;1194;2126;2979;3175		30		174
CON__Q2UVX4	CON__Q2UVX4	1	1	1			>Q2UVX4 SWISS-PROT:Q2UVX4 (Bos taurus) Complement C3 precursor	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	187.37	1662	1662	0	9.5736	0	0	0	0	1	0	1	0	0	0	0	0	1114100	0	0	0	0	625960	0	488120	0	0	0	0	0	11253	0	0	0	0	6322.9	0	4930.5	0	0	0	0	0	0	0	0	0	0	0	111860	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2			+	77	115	True	125	558;559	627;628	627				
CON__Q3SX14	CON__Q3SX14	2	1	1			>Q3SX14 TREMBL:Q3SX14 (Bos taurus) Similar to Gelsolin	1	2	1	1	0	0	0	0	2	2	2	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	7.4	2.3	2.3	85.686	781	781	0	7.0398	0	0	0	0	7.4	7.4	7.4	5.1	5.1	5.1	0	0	578880	0	0	0	0	260470	79249	239160	0	0	0	0	0	17026	0	0	0	0	7660.8	2330.8	7034.1	0	0	0	0	0	0	0	0	0	0	0	54805	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	3			+	78	514;636	False;True	569;703	2150;2151;2152;2153;2154;2155;2156;2157;2637;2638;2639	2686;2687;2688;2689;2690;2691;2692;2693;3240;3241;3242	2686;3242				
CON__Q9H552	CON__Q9H552	1	1	1			>Q9H552 TREMBL:Q9H552 Tax_Id=9606 Gene_Symbol=- Keratin-8-like protein 1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3.8	3.8	3.8	55.151	499	499	1	-2	0	0	0	0	0	3.8	0	0	0	0	0	0	1203800	0	0	0	0	0	1203800	0	0	0	0	0	0	37620	0	0	0	0	0	37620	0	0	0	0	0	0	0	0	0	0	0	986240	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	+		+	79	419	True	459	1812	2281	2281	27;28	31;32	151;162	147;155
D6RBD8;J3KND6;Q8NBA8	D6RBD8;J3KND6;Q8NBA8	1;1;1	1;1;1	1;1;1	DTW domain-containing protein 2	DTWD2	>tr|D6RBD8|D6RBD8_HUMAN DTW domain-containing protein 2 OS=Homo sapiens GN=DTWD2 PE=1 SV=1;>tr|J3KND6|J3KND6_HUMAN DTW domain containing 2, isoform CRA_d OS=Homo sapiens GN=DTWD2 PE=1 SV=1;>sp|Q8NBA8|DTWD2_HUMAN DTW domain-containing protein 2 OS=Homo sapi	3	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	5	5	22.554	202	202;232;298	1	-2	0	0	0	0	0	0	5	0	0	0	0	0	120060	0	0	0	0	0	0	120060	0	0	0	0	0	15008	0	0	0	0	0	0	15008	0	0	0	0	0	0	0	0	0	0	0	27513	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	+			80	408	True	447	1769	2207	2207	29	33;34	198	193;197
D6RBF8;H3BLV9;Q96SB4-4;Q96SB4;Q96SB4-3	D6RBF8;H3BLV9;Q96SB4-4;Q96SB4;Q96SB4-3	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	SRSF protein kinase 1	SRPK1	>tr|D6RBF8|D6RBF8_HUMAN SRSF protein kinase 1 (Fragment) OS=Homo sapiens GN=SRPK1 PE=1 SV=1;>tr|H3BLV9|H3BLV9_HUMAN SRSF protein kinase 1 (Fragment) OS=Homo sapiens GN=SRPK1 PE=1 SV=1;>sp|Q96SB4-4|SRPK1_HUMAN Isoform 3 of SRSF protein kinase 1 OS=Homo sapi	5	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	6.2	6.2	6.2	16.648	146	146;671;639;655;826	1	-2	0	0	0	0	0	0	0	0	0	0	6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	+			81	442	True	485	1891	2366	2366	194		25	
D6RGF1;D6RCC2;Q9UBU2	D6RGF1;D6RCC2;Q9UBU2	1;1;1	1;1;1	1;1;1	Dickkopf-related protein 2	DKK2	>tr|D6RGF1|D6RGF1_HUMAN Dickkopf-related protein 2 OS=Homo sapiens GN=DKK2 PE=4 SV=1;>tr|D6RCC2|D6RCC2_HUMAN Dickkopf-related protein 2 OS=Homo sapiens GN=DKK2 PE=4 SV=1;>sp|Q9UBU2|DKK2_HUMAN Dickkopf-related protein 2 OS=Homo sapiens GN=DKK2 PE=2 SV=1	3	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	4.4	4.4	4.4	18.146	159	159;213;259	0.010363	6.1499	0	0	0	4.4	0	4.4	0	4.4	4.4	0	0	0	24774000	0	0	0	1714700	0	6167600	0	7990900	8900600	0	0	0	3096700	0	0	0	214340	0	770950	0	998870	1112600	0	0	0	0	0	0	0	0	0	0	0	3065900	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	4				82	303	True	334	1368;1369;1370;1371	1674;1675;1676;1677	1676	195		157	
D6REL8;P02675	D6REL8;P02675	11;11	11;11	10;10	Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain	FGB	>tr|D6REL8|D6REL8_HUMAN Fibrinogen beta chain OS=Homo sapiens GN=FGB PE=1 SV=1;>sp|P02675|FIBB_HUMAN Fibrinogen beta chain OS=Homo sapiens GN=FGB PE=1 SV=2	2	11	11	10	0	0	0	0	6	4	6	6	9	6	4	5	0	0	0	0	6	4	6	6	9	6	4	5	0	0	0	0	6	4	5	5	9	6	3	5	36.8	36.8	33.1	31.18	272	272;491	0	224.6	0	0	0	0	25	24.6	28.3	28.3	32.7	27.6	28.3	27.6	124130000	0	0	0	0	28522000	7635100	24715000	6740900	19431000	11019000	11295000	14776000	6896300	0	0	0	0	1584600	424170	1373000	374500	1079500	612150	627480	820880	0	0	0	0	4891200	8023200	3668400	6597600	5338200	6550900	11854000	9025400	0	0	0	0	20	6	15	8	16	10	5	12	92				83	134;235;361;427;428;429;628;629;632;633;634	True;True;True;True;True;True;True;True;True;True;True	144;257;397;467;468;469;470;471;692;693;694;695;696;699;700;701	629;630;631;1041;1618;1619;1620;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;2586;2587;2588;2589;2590;2591;2592;2593;2594;2595;2596;2597;2598;2599;2600;2601;2602;2603;2604;2605;2606;2607;2608;2609;2610;2617;2618;2619;2620;2621;2622;2623;2624;2625;2626;2627;2628;2629;2630;2631;2632;2633;2634	701;702;703;1182;2035;2036;2037;2038;2293;2294;2295;2296;2297;2298;2299;2300;2301;2302;2303;2304;2305;2306;2307;2308;2309;2310;2311;2312;2313;2314;2315;2316;2317;2318;2319;2320;2321;2322;2323;2324;2325;2326;2327;2328;2329;3183;3184;3185;3186;3187;3188;3189;3190;3191;3192;3193;3194;3195;3196;3197;3198;3199;3200;3201;3202;3203;3204;3205;3206;3207;3208;3209;3210;3217;3218;3219;3220;3221;3222;3223;3224;3225;3226;3227;3228;3229;3230;3231;3232;3233;3234;3235;3236;3237	703;1182;2038;2295;2301;2329;3184;3210;3218;3223;3237	30;31	35;36;37;38	182;193	116;125;178;184
D6RIF6;Q9P270	D6RIF6;Q9P270	1;1	1;1	1;1	SLAIN motif-containing protein 2	SLAIN2	>tr|D6RIF6|D6RIF6_HUMAN SLAIN motif-containing protein 2 OS=Homo sapiens GN=SLAIN2 PE=1 SV=1;>sp|Q9P270|SLAI2_HUMAN SLAIN motif-containing protein 2 OS=Homo sapiens GN=SLAIN2 PE=1 SV=2	2	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7.2	7.2	7.2	44.656	414	414;581	0	7.2602	0	0	0	0	7.2	0	0	0	0	0	0	0	367320	0	0	0	0	367320	0	0	0	0	0	0	0	20407	0	0	0	0	20407	0	0	0	0	0	0	0	0	0	0	0	90565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				84	690	True	763	2870	3497	3497	32;196;197;198		193;194;207;210	
E5RGG2;P18507;P18507-2;P18507-3	E5RGG2;P18507;P18507-2;P18507-3	1;1;1;1	1;1;1;1	1;1;1;1	Gamma-aminobutyric acid receptor subunit gamma-2	GABRG2	>tr|E5RGG2|E5RGG2_HUMAN Gamma-aminobutyric acid receptor subunit gamma-2 (Fragment) OS=Homo sapiens GN=GABRG2 PE=1 SV=1;>sp|P18507|GBRG2_HUMAN Gamma-aminobutyric acid receptor subunit gamma-2 OS=Homo sapiens GN=GABRG2 PE=1 SV=2;>sp|P18507-2|GBRG2_HUMAN Iso	4	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6.8	6.8	6.8	26.074	222	222;467;475;515	1	-2	0	0	0	0	0	0	6.8	0	0	0	0	0	284100	0	0	0	0	0	0	284100	0	0	0	0	0	25827	0	0	0	0	0	0	25827	0	0	0	0	0	0	0	0	0	0	0	65103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			85	436	True	479	1874	2344	2344	33	39	79	74
Q96HY3;E7ETZ0;H0Y7A7;E7EMB3;P62158;M0QZ52;G3V361	Q96HY3;E7ETZ0;H0Y7A7;E7EMB3;P62158;M0QZ52;G3V361	2;2;2;2;2;1;1	2;2;2;2;2;1;1	2;2;2;2;2;1;1	Calmodulin	CALM3;CALM1;CALM2	>tr|Q96HY3|Q96HY3_HUMAN CALM1 protein OS=Homo sapiens GN=CALM3 PE=1 SV=1;>tr|E7ETZ0|E7ETZ0_HUMAN Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=1;>tr|H0Y7A7|H0Y7A7_HUMAN Calmodulin (Fragment) OS=Homo sapiens GN=CALM2 PE=1 SV=1;>tr|E7EMB3|E7EMB3_HUMAN Calmodul	7	2	2	2	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	2	1	2	0	1	0	0	0	33.6	33.6	33.6	12.876	113	113;150;187;196;149;83;98	0	101.1	0	0	0	0	33.6	19.5	33.6	0	19.5	0	0	0	4607600	0	0	0	0	2050700	190490	1793000	0	573360	0	0	0	921510	0	0	0	0	410150	38098	358600	0	114670	0	0	0	0	0	0	0	0	0	410880	0	0	0	0	0	0	0	0	0	2	1	2	0	1	0	0	0	6				86	125;657	True;True	135;726	584;585;586;587;2733;2734	653;654;655;656;3353;3354	653;3353				
H7BYG7;E7EPZ0;E9PD61;E7EPY9;E7ENK3;P39086-2;P39086	H7BYG7;E7EPZ0;E9PD61;E7EPY9;E7ENK3;P39086-2;P39086	1;1;1;1;1;1;1	1;1;1;1;1;1;1	1;1;1;1;1;1;1	Glutamate receptor ionotropic, kainate 1	GRIK1	>tr|H7BYG7|H7BYG7_HUMAN Glutamate receptor ionotropic, kainate 1 OS=Homo sapiens GN=GRIK1 PE=1 SV=1;>tr|E7EPZ0|E7EPZ0_HUMAN Glutamate receptor ionotropic, kainate 1 OS=Homo sapiens GN=GRIK1 PE=1 SV=1;>tr|E9PD61|E9PD61_HUMAN Glutamate receptor ionotropic, k	7	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.7	1.7	1.7	98.821	871	871;903;920;934;949;905;918	1	-2	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	+			87	531	True	586	2205	2743	2743	34		735	
M0QYX2;H7BXU4;E7ENS9;Q9H2X3-7;Q9H2X3-5;Q9H2X3-8;Q9H2X3	M0QYX2;H7BXU4;E7ENS9;Q9H2X3-7;Q9H2X3-5;Q9H2X3-8;Q9H2X3	1;1;1;1;1;1;1	1;1;1;1;1;1;1	1;1;1;1;1;1;1	C-type lectin domain family 4 member M	CLEC4M	>tr|M0QYX2|M0QYX2_HUMAN C-type lectin domain family 4 member M OS=Homo sapiens GN=CLEC4M PE=1 SV=1;>tr|H7BXU4|H7BXU4_HUMAN C-type lectin domain family 4 member M OS=Homo sapiens GN=CLEC4M PE=1 SV=1;>tr|E7ENS9|E7ENS9_HUMAN C-type lectin domain family 4 memb	7	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3.3	3.3	3.3	37.981	332	332;348;387;263;332;376;399	1	-2	0	0	0	0	0	3.3	0	0	0	0	0	0	46389	0	0	0	0	0	46389	0	0	0	0	0	0	2209	0	0	0	0	0	2209	0	0	0	0	0	0	0	0	0	0	0	38004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			88	82	True	87	389	456	456	35		318	
E7EP32;P62879-2;P62879;C9JXA5	E7EP32;P62879-2;P62879	4;4;4;1	4;4;4;1	3;3;3;1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	GNB2	>tr|E7EP32|E7EP32_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens GN=GNB2 PE=1 SV=1;>sp|P62879-2|GBB2_HUMAN Isoform 2 of Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens GN=GNB2;>sp|P62	4	4	4	3	0	0	0	0	4	1	3	0	3	1	0	0	0	0	0	0	4	1	3	0	3	1	0	0	0	0	0	0	3	0	2	0	2	0	0	0	33.8	33.8	26	32.408	296	296;240;340;251	0	69.667	0	0	0	0	33.8	7.8	23	0	23	7.8	0	0	11979000	0	0	0	0	5162200	170690	3650900	0	2772800	222260	0	0	1197900	0	0	0	0	516220	17069	365090	0	277280	22226	0	0	0	0	0	0	1089200	0	966270	0	1009100	0	0	0	0	0	0	0	5	1	3	0	4	1	0	0	14				89	9;318;535;686	True;True;True;True	9;10;350;590;759	23;24;25;1411;1412;1413;2217;2860;2861;2862;2863;2864;2865;2866	25;26;27;1717;1718;1719;2758;3487;3488;3489;3490;3491;3492;3493	26;1717;2758;3487	36	40	193	219
J3QQQ8;J3KSK9;E9PE19;E7ETD6;Q12830-4;Q12830-2;Q12830	J3QQQ8;J3KSK9;E9PE19;E7ETD6;Q12830-4;Q12830-2;Q12830	1;1;1;1;1;1;1	1;1;1;1;1;1;1	1;1;1;1;1;1;1	Nucleosome-remodeling factor subunit BPTF	BPTF	>tr|J3QQQ8|J3QQQ8_HUMAN Nucleosome-remodeling factor subunit BPTF (Fragment) OS=Homo sapiens GN=BPTF PE=1 SV=1;>tr|J3KSK9|J3KSK9_HUMAN Nucleosome-remodeling factor subunit BPTF (Fragment) OS=Homo sapiens GN=BPTF PE=1 SV=1;>tr|E9PE19|E9PE19_HUMAN Nucleosome	7	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3.3	3.3	3.3	48.318	420	420;484;650;2764;2903;2920;3046	1	-2	0	0	0	0	0	0	0	0	3.3	0	0	0	118150	0	0	0	0	0	0	0	0	118150	0	0	0	7384.6	0	0	0	0	0	0	0	0	7384.6	0	0	0	0	0	0	0	0	0	0	0	40699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			90	137	True	147	636	708	708	37;199	41;42	17;18	20;27
H0Y9S3;E7EUS2;Q8TBZ0-2;Q8TBZ0	H0Y9S3;E7EUS2;Q8TBZ0-2;Q8TBZ0	1;1;1;1	1;1;1;1	1;1;1;1	Coiled-coil domain-containing protein 110	CCDC110	>tr|H0Y9S3|H0Y9S3_HUMAN Coiled-coil domain-containing protein 110 (Fragment) OS=Homo sapiens GN=CCDC110 PE=4 SV=1;>tr|E7EUS2|E7EUS2_HUMAN Coiled-coil domain-containing protein 110 OS=Homo sapiens GN=CCDC110 PE=1 SV=1;>sp|Q8TBZ0-2|CC110_HUMAN Isoform 2 of C	4	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	11.3	11.3	11.3	14.356	124	124;836;796;833	1	-2	0	0	0	0	11.3	0	11.3	0	0	0	0	11.3	1182200	0	0	0	0	412310	0	614150	0	0	0	0	155710	118220	0	0	0	0	41231	0	61415	0	0	0	0	15571	0	0	0	0	0	0	0	0	0	0	0	138640	0	0	0	0	0	0	1	0	0	0	0	1	2	+			91	320	True	352	1418;1419;1420	1725;1726;1727	1727	38;39		8;15	
E7EUT5;P04406-2;P04406	E7EUT5;P04406-2;P04406	3;3;3	3;3;3	3;3;3	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	>tr|E7EUT5|E7EUT5_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=1;>sp|P04406-2|G3P_HUMAN Isoform 2 of Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH;>sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydr	3	3	3	3	0	0	0	0	3	0	2	1	1	1	1	1	0	0	0	0	3	0	2	1	1	1	1	1	0	0	0	0	3	0	2	1	1	1	1	1	19.6	19.6	19.6	27.87	260	260;293;335	0	166.85	0	0	0	0	19.6	0	19.6	9.2	9.2	9.2	9.2	9.2	34132000	0	0	0	0	5518300	0	4843500	1058000	13641000	6736700	924950	1409900	2625500	0	0	0	0	424480	0	372580	81383	1049300	518210	71150	108450	0	0	0	0	0	0	0	784420	3978400	4330200	1065200	962100	0	0	0	0	4	0	3	2	3	3	2	3	20				92	671;672;673	True;True;True	741;742;743;744;745	2815;2816;2817;2818;2819;2820;2821;2822;2823;2824;2825;2826;2827;2828;2829;2830;2831;2832;2833;2834	3442;3443;3444;3445;3446;3447;3448;3449;3450;3451;3452;3453;3454;3455;3456;3457;3458;3459;3460;3461	3451;3459;3461		43;44;45		55;58;100
E7EW58;Q9H3W5	E7EW58;Q9H3W5	2;2	2;2	2;2	Leucine-rich repeat neuronal protein 3	LRRN3	>tr|E7EW58|E7EW58_HUMAN Leucine-rich repeat neuronal protein 3 (Fragment) OS=Homo sapiens GN=LRRN3 PE=4 SV=1;>sp|Q9H3W5|LRRN3_HUMAN Leucine-rich repeat neuronal protein 3 OS=Homo sapiens GN=LRRN3 PE=2 SV=1	2	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7.7	7.7	7.7	30.859	273	273;708	0	11.435	0	0	0	0	7.7	0	0	0	0	0	0	0	29228000	0	0	0	0	29228000	0	0	0	0	0	0	0	2657100	0	0	0	0	2657100	0	0	0	0	0	0	0	0	0	0	0	7206400	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2				93	410;441	True;True	449;484	1773;1890	2211;2365	2211;2365				
E9PBG3;Q9NQ86-4;Q9NQ86	E9PBG3;Q9NQ86-4;Q9NQ86	1;1;1	1;1;1	1;1;1	E3 ubiquitin-protein ligase TRIM36	TRIM36	>tr|E9PBG3|E9PBG3_HUMAN E3 ubiquitin-protein ligase TRIM36 OS=Homo sapiens GN=TRIM36 PE=1 SV=1;>sp|Q9NQ86-4|TRI36_HUMAN Isoform 4 of E3 ubiquitin-protein ligase TRIM36 OS=Homo sapiens GN=TRIM36;>sp|Q9NQ86|TRI36_HUMAN E3 ubiquitin-protein ligase TRIM36 OS=H	3	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1.7	1.7	1.7	65.568	573	573;716;728	1	-2	0	0	0	0	0	0	0	0	1.7	0	0	0	63783	0	0	0	0	0	0	0	0	63783	0	0	0	1876	0	0	0	0	0	0	0	0	1876	0	0	0	0	0	0	0	0	0	0	0	21971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			94	347	True	382	1562	1979	1979	40	46	66	67
E9PEM3;H0Y6E6;Q92622-3;Q92622-2;Q92622	E9PEM3;H0Y6E6;Q92622-3;Q92622-2;Q92622	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Run domain Beclin-1 interacting and cysteine-rich containing protein	KIAA0226	>tr|E9PEM3|E9PEM3_HUMAN Run domain Beclin-1-interacting and cysteine-rich domain-containing protein OS=Homo sapiens GN=RUBCN PE=1 SV=1;>tr|H0Y6E6|H0Y6E6_HUMAN Run domain Beclin-1-interacting and cysteine-rich domain-containing protein (Fragment) OS=Homo sa	5	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3	3	47.508	435	435;934;921;927;972	1	-2	0	0	0	0	0	0	0	0	3	0	0	0	80036	0	0	0	0	0	0	0	0	80036	0	0	0	4446.4	0	0	0	0	0	0	0	0	4446.4	0	0	0	0	0	0	0	0	0	0	0	27569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			95	307	True	338	1387	1693	1693		47		190
